analysis_id,1xiu4ex69029s15
parameter_name,Center permanence time
mouse_strain,C57BL
pvalue,0.8145634
mouse_life_stage,Early adult
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
