gene_symbol,Dhdds
parameter_name,Hindlimbs - shape
pvalue,0.4307584
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,1wx0u81vsvp97d4
parameter_id,JAXLA_CSD_021_001
