gene_symbol,Trp53i11
pvalue,0.984028
gene_accession_id,MGI:2670995
analysis_id,l5947955h0c5901
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
