parameter_name,Creatinine
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
analysis_id,0lv81zlcu18y03k
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
pvalue,0.9628824
gene_accession_id,MGI:2446186
