analysis_id,02ffglm4hg2136s
parameter_name,Whole arena resting time
pvalue,0.9895327
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
