gene_symbol,Slc30a4
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
pvalue,0.6446121
parameter_id,MGP_IMM_089_001
mouse_strain,C57BL
analysis_id,zh68i25e84wp9r5
