parameter_name,Light side time spent
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.235747
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
gene_symbol,Col6a3
analysis_id,9f5ge22t20pz95r
