parameter_name,Hemoglobin
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
pvalue,0.4665079
analysis_id,076w5ci8q7k54if
