analysis_id,p3zo86a7ybfnswz
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
mouse_life_stage,Early adult
gene_symbol,Morn5
pvalue,0.5140353
gene_accession_id,MGI:1922745
