parameter_name,Aspartate aminotransferase
analysis_id,zqp2m3cy9344lu5
mouse_strain,C55BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,IMPC_CBC_012_001
mouse_life_stage,E12.5
pvalue,0.3654318
