gene_symbol,Hnf4a
mouse_strain,C57BL
pvalue,0.2639449
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
analysis_id,7m7753ba28ofj36
