gene_symbol,Gpbp1l1
parameter_id,IMPC_XRY_023_001
mouse_life_stage,Early adult
analysis_id,dot3xvt08494psb
parameter_name,Ulna
mouse_strain,C57BL
pvalue,0.6270997
gene_accession_id,MGI:1924360
