analysis_id,52092ta95hf3yts
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
pvalue,0.8305738
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
gene_symbol,AU040320
