analysis_id,o6dd00060tum028
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
gene_symbol,Slc30a4
pvalue,0.967005
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
