analysis_id,fkr411n64v78e21
gene_accession_id,MGI:1309468
pvalue,0.9951556
mouse_strain,C57BL
gene_symbol,Casq1
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
