gene_symbol,Atf3
parameter_name,Head coat/hair presence
mouse_strain,C57BL
analysis_id,m18qkv944t56bv0
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:109384
pvalue,0.9991376
mouse_life_stage,Early adult
