analysis_id,u9912h0q1tm4ys3
mouse_strain,C57BL
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
pvalue,0.4010088
gene_symbol,Tnfsf10
