analysis_id,vs11x3v0h3kwj70
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1927379
parameter_name,Periphery resting time
mouse_strain,C57BL
pvalue,0.1201155
gene_symbol,Rhbg
mouse_life_stage,Early adult
