gene_symbol,Rab3gap2
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,d5770oiie0006i3
pvalue,0.08336498
parameter_name,Cornea vascularisation
gene_accession_id,MGI:1916043
