analysis_id,12u3k07t41ev318
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,129SV
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.1570809
gene_accession_id,MGI:1918025
