parameter_name,% Freezing duration habituation-1
pvalue,0.3893875
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
analysis_id,nl8x97nnqr4l17v
parameter_id,ICS_FEA_016_001
gene_symbol,Gpbp1l1
