parameter_name,RR
parameter_id,IMPC_ECG_004_001
pvalue,0.1582198
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
gene_symbol,Inpp1
mouse_strain,129SV
analysis_id,mw8mj20345494hq
