parameter_name,Snout size
pvalue,6.859023e-23
mouse_strain,C57BL
analysis_id,b746136y6332208
mouse_life_stage,Early adult
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
