pvalue,0.8510582
gene_symbol,Cds2
mouse_strain,129SV
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
analysis_id,6gym8wg97p0wsps
gene_accession_id,MGI:1332236
