analysis_id,ioar8y692v53f9j
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_id,IMPC_EYE_017_001
parameter_name,Lens Opacity
pvalue,0.3716059
