parameter_id,JAXLA_EYE_092_001
gene_symbol,Sdcbp2
parameter_name,Retina (combined)
analysis_id,c316e5nf464p2f6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.05353629
gene_accession_id,MGI:2385156
