analysis_id,96dip8a0v2c2mi0
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Duoxa2
pvalue,0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:1914061
mouse_strain,C57BL
