gene_symbol,Cd52
gene_accession_id,MGI:1346088
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
mouse_life_stage,Early adult
pvalue,0.479797
analysis_id,8o6itezfsd69eg4
mouse_strain,C57BL
