parameter_name,Iron
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5176702
analysis_id,10463z71p7q3269
gene_accession_id,MGI:1915033
parameter_id,IMPC_CBC_011_001
gene_symbol,Ahctf1
