analysis_id,6r43j7o559tjsxy
gene_accession_id,MGI:106659
mouse_strain,C57BL
gene_symbol,Sprr1b
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_005_001
pvalue,0.5395098
