parameter_id,HMGULA_DYS_024_001
analysis_id,05zt7v88dv87t75
parameter_name,Vibrissae - appearance
gene_symbol,Slc17a9
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.283254
gene_accession_id,MGI:1919107
