analysis_id,22692r0423q1hl9
parameter_id,M-G-P_006_001_026
pvalue,0.5412293
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
parameter_name,Fusion of vertebrae
