gene_symbol,Pex19
gene_accession_id,MGI:1334458
analysis_id,1leq029o25h6747
pvalue,0.3205166
mouse_strain,C57BL
parameter_id,MGP_PBI_009_001
mouse_life_stage,Early adult
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
