analysis_id,6rh5i2l70pqi14i
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
pvalue,0.5933681
gene_symbol,Frmpd1
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
