parameter_id,JAX_ROT_002_001
gene_symbol,Dcaf12
mouse_strain,C57BL
analysis_id,74sl46r150v4s1s
pvalue,0.2078889
parameter_name,Average duration
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
