analysis_id,0l8e1598245f93l
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
pvalue,0.3287418
gene_symbol,Cd52
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
