gene_symbol,F2
parameter_id,IMPC_IMM_005_002
pvalue,0.8995542
gene_accession_id,MGI:88380
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
analysis_id,47palu40l3iv4b5
mouse_strain,C57BL
