analysis_id,t806e6i0yw34422
parameter_id,IMPC_CBC_004_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.3029976
