parameter_name,Left total retinal thickness
gene_accession_id,MGI:1860103
pvalue,0.149744
analysis_id,v513fxr2y75qf5n
mouse_life_stage,Early adult
mouse_strain,C50BL
parameter_id,IMPC_EYE_068_001
gene_symbol,Slc2a8
