gene_symbol,Psd4
analysis_id,f6mg70lp1m7l850
pvalue,0.06418484
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:2674093
