parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:3522699
parameter_name,Lens Opacity
mouse_life_stage,Early adult
analysis_id,491l7ex85xk91m5
mouse_strain,C57BL
pvalue,0.8243241
gene_symbol,Trpa1
