mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2793091
gene_symbol,Cpa3
analysis_id,178889li9yc6sz5
gene_accession_id,MGI:88479
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
