gene_symbol,Jun
mouse_life_stage,E9.5
parameter_name,Calcium
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
analysis_id,prwknfb239f93c5
pvalue,0.9114717
gene_accession_id,MGI:96646
