gene_symbol,Ubxn4
pvalue,0.8304642
parameter_id,M-G-P_005_001_001
analysis_id,f5vwju9kf7uf54h
gene_accession_id,MGI:1915062
parameter_name,Weight
mouse_strain,C57BL
mouse_life_stage,Late adult
