parameter_name,CV
gene_symbol,Hpca
mouse_life_stage,Late adult
analysis_id,433dj1t41rmad48
pvalue,0.2688676
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:1336200
