analysis_id,g1q25ftp192z64t
parameter_id,IMPC_EYE_059_001
gene_symbol,Ssr2
mouse_strain,C57BL
pvalue,0.9394702
mouse_life_stage,Early adult
parameter_name,Mean right eye lens density
gene_accession_id,MGI:1913506
