analysis_id,eh47953z70ipe09
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_symbol,Inpp1
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_CBC_004_001
pvalue,0.4679931
