parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
analysis_id,z7946go0x8nn30e
pvalue,0.6484345
parameter_id,JAX_OFD_013_001
gene_symbol,Slc30a4
