analysis_id,g5143y8wnfkx22v
parameter_id,IMPC_IMM_004_002
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.8724673
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
