analysis_id,5l7929vggk3w775
gene_accession_id,MGI:1924054
mouse_strain,C57BL
pvalue,0.1416267
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
parameter_name,Mean platelet volume
gene_symbol,Kdm4c
