parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
mouse_life_stage,E18.5
pvalue,0.3882647
gene_accession_id,MGI:1914309
analysis_id,m8wt86u02pv56qc
mouse_strain,C57BL
gene_symbol,Ola1
