gene_symbol,Sprr1b
parameter_name,Total cholesterol
analysis_id,93yt37de7q7zj32
mouse_life_stage,Early adult
pvalue,0.7589313
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:106659
mouse_strain,C57BL
