analysis_id,e1462r0723f13nk
mouse_strain,C57BL
gene_symbol,Fgb
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.9425904
gene_accession_id,MGI:99501
parameter_id,MGP_IMM_017_001
mouse_life_stage,E12.5
