parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.3538504
analysis_id,6upxvu21qk2o1kr
gene_symbol,Toporsl
