parameter_name,Thoracic processes
pvalue,0.8932894
mouse_strain,C57BL
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_id,IMPC_XRY_064_001
analysis_id,91pod9pp4mn7156
mouse_life_stage,Early adult
