analysis_id,h8211rsg2301k95
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.2104905
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
