analysis_id,qg4n18s02r57h0d
parameter_id,MGP_MLN_074_001
mouse_life_stage,Early adult
gene_symbol,Extl1
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1888742
pvalue,0.1044946
