gene_symbol,AP5S1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_072_001
gene_accession_id,MGI:1916846
parameter_name,KLRG1+ Treg cells - % of CD45+
analysis_id,o459cw7983q6r31
pvalue,0.2538179
