analysis_id,2esi70fe460629s
gene_symbol,Slc30a4
parameter_name,Eosinophil number
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7974516
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:1345282
