gene_symbol,Tox
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
analysis_id,278g2rlf61j0ufj
pvalue,0.3784345
mouse_strain,C57BL
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
