analysis_id,9a9467lcg41354j
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:1922855
pvalue,0.4569556
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_symbol,KDM5B
mouse_life_stage,Early adult
