parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
parameter_name,Monocyte percentage
pvalue,0.6892464
analysis_id,e0i4c5325c185p3
mouse_life_stage,Early adult
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
