parameter_id,HMGULA_CBC_003_001
pvalue,0.07421433
analysis_id,977ml4f0whswa56
gene_symbol,ATRN
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
parameter_name,Chloride
