gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.685253
parameter_name,Sacral processes
gene_accession_id,MGI:1913838
mouse_strain,C57BL
analysis_id,698g24n1881q56k
parameter_id,IMPC_XRY_066_001
